INFO:__main__:🚀 Бот запускается...
INFO:__main__:✅ База данных инициализирована
INFO:bot.api:✅ API routes настроены
INFO:aiogram.dispatcher:Start polling
INFO:__main__:🌐 Веб-сервер запущен на порту 8080
INFO:aiogram.dispatcher:Run polling for bot @cloaknetvbot id=8287902513 - 'CloakNet чат-Bot'
INFO:aiohttp.access:149.86.227.60 [15/Mar/2026:02:49:10 +0000] "GET / HTTP/1.1" 404 174 "-" "Mozilla/5.0"
INFO:aiohttp.access:117.29.8.218 [15/Mar/2026:02:55:50 +0000] "GET / HTTP/1.1" 404 174 "-" "-"
INFO:aiohttp.access:114.97.191.120 [15/Mar/2026:02:56:46 +0000] "GET / HTTP/1.1" 404 193 "-" "Mozilla/5.0 (Windows NT 6.1) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/49.0.2623.112 Safari/537.36"
INFO:aiohttp.access:64.62.156.172 [15/Mar/2026:03:06:30 +0000] "UNKNOWN / HTTP/1.0" 400 214 "-" "-"
INFO:aiohttp.access:146.190.241.66 [15/Mar/2026:03:33:29 +0000] "UNKNOWN / HTTP/1.0" 400 202 "-" "-"
INFO:aiohttp.access:95.214.55.63 [15/Mar/2026:03:45:40 +0000] "GET / HTTP/1.1" 404 193 "-" "-"
INFO:aiohttp.access:95.214.55.63 [15/Mar/2026:03:45:40 +0000] "POST / HTTP/1.1" 404 193 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64; rv:136.0) Gecko/20100101 Firefox/136."
INFO:aiohttp.access:95.214.55.63 [15/Mar/2026:03:45:41 +0000] "POST /_next HTTP/1.1" 404 193 "-" "Mozilla/5.0 (Linux; U; Android 4.2.2; he-il; NEO-X5-116A Build/JDQ39) AppleWebKit/534.30 (KHTML, like Gecko) Version/4.0 Safari/534.30"
INFO:aiohttp.access:95.214.55.63 [15/Mar/2026:03:45:43 +0000] "POST /api HTTP/1.1" 404 193 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/134.0.6998.99 Mobile/15E148 Safari/604.1"
INFO:aiohttp.access:95.214.55.63 [15/Mar/2026:03:45:44 +0000] "POST /_next/server HTTP/1.1" 404 193 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/134.0.6998.99 Mobile/15E148 Safari/604.1"
INFO:aiohttp.access:95.214.55.63 [15/Mar/2026:03:45:46 +0000] "POST /app HTTP/1.1" 405 228 "-" "Mozilla/5.0 (Linux; Android 9; AFTWMST22 Build/PS7233; wv) AppleWebKit/537.36 (KHTML, like Gecko) Version/4.0 Chrome/88.0.4324.152 Mobile Safari/537.36"
INFO:aiohttp.access:95.214.55.63 [15/Mar/2026:03:45:49 +0000] "POST /api/route HTTP/1.1" 404 193 "-" "Mozilla/5.0 (iPhone; CPU iPhone OS 17_7 like Mac OS X) AppleWebKit/605.1.15 (KHTML, like Gecko) CriOS/134.0.6998.99 Mobile/15E148 Safari/604.1"
INFO:aiohttp.access:89.248.168.227 [15/Mar/2026:03:46:50 +0000] "GET /login HTTP/1.1" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/137.0.0.0 Safari/537.36"
INFO:aiohttp.access:127.0.0.1 [15/Mar/2026:04:52:07 +0000] "GET /api/.env HTTP/1.0" 404 174 "-" "Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36"
